City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,nieuw amsterdam,5.8833,-55.0833,33.01,52,20,3.6,SR,1727469411
176,kani keli,-12.9536,45.1033,24.59,71,40,4.44,YT,1727469413
177,razampeta,14.1833,79.1667,28.4,67,100,1.51,IN,1727469414
178,at taj,24.2049,23.2857,26.89,28,0,4.77,LY,1727469415
179,el calafate,-50.3408,-72.2768,6.78,59,44,5.26,AR,1727469221
180,nyurba,63.2842,118.3319,0.08,97,86,1.86,RU,1727469194
181,sirsilla,18.3833,78.8333,24.56,83,100,3.59,IN,1727469418
182,college,64.8569,-147.8028,4.14,86,100,2.06,US,1727469419
183,northam,51.0333,-4.2167,12.01,72,60,7.28,GB,1727469420
184,thanh hoa,19.8,105.7667,24.7,96,8,0.68,VN,1727469421
185,sorong,-0.8833,131.25,25.47,88,31,2.83,ID,1727469423
186,san jose,37.3394,-121.895,33.89,34,0,2.57,US,1727469327
187,pucallpa,-8.3791,-74.5539,25.02,94,75,2.57,PE,1727469425
188,bandon,51.7469,-8.7425,8.77,85,8,2.62,IE,1727469426
189,ulanhot,46.0833,122.0833,11.02,63,40,3.07,CN,1727469427
190,laghouat,33.8,2.8651,29.37,34,96,1.1,DZ,1727469428
191,mumbwa,-14.9783,27.0619,23.73,22,14,2.21,ZM,1727469429
192,carnarvon,-24.8667,113.6333,16.28,59,10,6.95,AU,1727468938
193,yeppoon,-23.1333,150.7333,18.6,72,9,2.45,AU,1727469432
194,sao vicente,-23.9631,-46.3919,18.98,36,100,3.13,BR,1727469433
195,makungu,-8.7333,35.2833,17.82,63,6,1.63,TZ,1727469434
196,houghton,47.1219,-88.569,26.71,48,0,5.14,US,1727469346
197,andergrove,-21.0833,149.1833,20.32,84,1,3.19,AU,1727469436
198,tezu,27.9167,96.1667,22.67,96,100,1.91,IN,1727469437
199,nabire,-3.3667,135.4833,23.47,93,66,1.32,ID,1727468948
200,arraial do cabo,-22.9661,-42.0278,23.98,78,75,4.63,BR,1727469439
201,gumdag,39.2061,54.5906,18.5,14,100,11.11,TM,1727469440
202,bom jesus,-9.0744,-44.3586,33.53,21,81,2.73,BR,1727469441
203,kasane,-17.8167,25.15,25.42,26,15,1.5,BW,1727469443
204,yuzhno-kurilsk,44.0306,145.8556,15.96,96,100,4.14,RU,1727468973
205,okha,53.5739,142.9478,10.27,82,100,1.04,RU,1727469445
206,san fernando,15.0286,120.6898,25.85,97,98,0.61,PH,1727469446
207,port elizabeth,-33.918,25.5701,14.62,97,0,0.51,ZA,1727469447
208,vondrozo,-22.8167,47.2833,17.04,93,43,0.74,MG,1727469195
209,kavali,14.9167,79.9833,27.68,77,95,2.87,IN,1727469238
210,cobourg,50.2667,10.9667,12.03,86,80,0.45,DE,1727469450
211,akdepe,42.0551,59.3788,12.33,23,0,5.79,TM,1727469451
212,iqaluit,63.7506,-68.5145,5.85,86,75,1.54,CA,1727469452
213,keflavik,64.0049,-22.5624,6.24,81,0,1.03,IS,1727469453
214,vila franca do campo,37.7167,-25.4333,23.23,94,62,2.51,PT,1727469455
215,nong chik,6.8436,101.178,25.03,91,92,2.06,TH,1727469456
216,utrik,11.2278,169.8474,28.47,78,84,7.2,MH,1727469458
217,itaituba,-4.2761,-55.9836,36.09,46,40,2.57,BR,1727469459
218,atafu village,-8.5421,-172.5159,28.11,74,68,6.02,TK,1727469460
219,mountain home,43.133,-115.6912,27.23,27,0,0.45,US,1727469462
220,anzio,41.4853,12.6179,23.03,93,2,6.13,IT,1727469463
221,sohna,28.25,77.0667,24.48,88,79,4.27,IN,1727469464
222,corner brook,48.9667,-57.9484,13.06,87,100,1.54,CA,1727469466
223,aasiaat,68.7098,-52.8699,2.14,99,100,0.69,GL,1727469467
224,santa ana,33.7456,-117.8678,27.71,59,0,2.57,US,1727469405
225,erenhot,43.6475,111.9767,17.31,77,31,5.49,CN,1727469469
226,belmonte,-15.8631,-38.8828,24.13,79,0,4.15,BR,1727469470
227,pangody,65.85,74.4859,5.07,95,100,6.41,RU,1727469472
228,tsiombe,-25.3,45.4833,21.53,87,76,1.97,MG,1727469473
229,dryden,49.7833,-92.7503,22.16,37,0,4.12,CA,1727469474
230,basco,20.4487,121.9702,29.0,80,100,8.84,PH,1727469475
231,kristiansund,63.1115,7.732,5.63,93,75,1.54,NO,1727469477
232,ola,59.5833,151.2833,5.52,83,0,0.81,RU,1727469478
233,nizhnesortymskiy,62.4397,71.7603,7.36,96,76,5.0,RU,1727469479
234,hammerfest,70.6634,23.6821,2.25,93,20,3.09,NO,1727469480
235,kochubey,44.3861,46.5825,17.39,61,1,6.75,RU,1727469481
